,Year,Population,Total Refugees,Total Empl,Empl German,Empl Foreigners,Helper,Skilled worker,Specialist,Expert,without educ,with educ,with academic educ,educ unknown,Unemployment,Unemployment Rate
0,2020,2910875,72235,250314,230446,19307,112278,105623,13428,7533,49756,133583,18382,48593,92140,5.8
1,2019,2903773,70795,270668,249032,21068,120026,117347,14075,7477,54352,141517,18205,56594,79678,5.1
2,2018,2896712,67730,270284,249356,20321,117312,120326,13439,7355,53617,140192,17126,59349,85053,5.5
3,2017,2889821,62710,268048,248614,18822,116213,120000,12844,7102,52324,137143,15671,62910,92434,6
4,2016,2881926,59585,265360,247870,16904,116530,117685,12493,6972,50323,134130,14624,66283,94977,6.3
5,2015,2858714,35100,263309,247086,15703,115756,117012,12217,6846,48053,130548,13515,71193,97849.5,6.5
6,2014,2830864,23300,265361,249850,15049,116882,118516,12136,6693,45847,128635,12372,78507,100957,6.8
7,2013,2815955,17265,259100,244599,13988,113475,116762,11763,6510,36138,108102,8971,105889,101750.83333333333,6.9
