,Year,Population,Total Refugees,Total Empl,Empl German,Empl Foreigners,Helper,Skilled worker,Specialist,Expert,without educ,with educ,with academic educ,educ unknown,Unemployment,Unemployment Rate
0,2020,13140183,213085,1294304,1089126,202794,573077,555594,68994,46753,226756,751935,118285,197328,275075,3.6
1,2019,13124737,213120,1386321,1172316,211756,605966,608583,73270,48044,249811,793316,120200,222994,211965,2.8
2,2018,13076721,212015,1376757,1174462,200146,603151,604734,71635,46526,247406,783246,113054,233051,214017,2.9
3,2017,12997204,201985,1363206,1172656,188228,601633,596287,69284,46163,243977,766407,105885,246937,231353,3.2
4,2016,12930751,193565,1344763,1166700,175796,595940,588230,67155,45120,238997,745751,98816,261199,250623,3.5
5,2016,12930751,193565,1326451,1159329,165022,595940,588230,67155,45120,238997,745751,98816,261199,250623,3.5
6,2014,12691568,92950,1328767,1171238,155521,595098,581830,63924,43713,229978,712554,83546,302689,264603.3333333333,3.8
7,2013,12604244,74785,1266393,1124714,139640,557680,566616,60166,40785,190440,612735,59712,403506,264532.3333333333,3.8
