,Year,Population,Total Refugees,Total Empl,Empl German,Empl Foreigners,Helper,Skilled worker,Specialist,Expert,without educ,with educ,with academic educ,educ unknown,Unemployment,Unemployment Rate
0,2020,983991,29815,87860,76221,11498,37226,38989,4275,3765,17315,47114,6720,16711,38364,7.2
1,2019,986887,29110,95507,83237,12132,39753,43736,4477,3826,19177,50393,6789,19148,32854,6.2
2,2018,990509,27645,96457,84473,11860,40729,43990,4351,3736,19204,50312,6503,20438,32233,6.1
3,2017,994187,25705,97153,85544,11494,41722,43933,4132,3706,19200,49975,6125,21853,34672,6.7
4,2016,996651,23650,98049,86849,11055,42533,44203,3998,3688,19078,49586,5881,23504,37103,7.2
5,2015,995597,18005,97785,87321,10319,42787,43854,3924,3697,18316,48872,5470,25127,36894.666666666664,7.2
6,2014,989035,9745,100007,89711,10135,44506,44483,3933,3791,18317,48595,5154,27941,36911.083333333336,7.2
7,2013,990718,7645,98947,89531,9274,43907,44403,3824,3717,15570,42154,3913,37310,37383.083333333336,7.3
