,Year,Population,Total Refugees,Total Empl,Empl German,Empl Foreigners,Helper,Skilled worker,Specialist,Expert,without educ,with educ,with academic educ,educ unknown,Unemployment,Unemployment Rate
0,2020,680130,30255,64845,53396,11319,30845,24956,3234,3832,15355,28108,6314,15068,40822,11.2
1,2019,681202,28895,70392,58283,11955,32879,28210,3336,3893,16761,29808,6492,17331,35702,9.9
2,2018,682986,27220,71102,59362,11582,33305,28452,3277,3961,16739,29753,6417,18193,34904,9.8
3,2017,681032,25400,71220,59915,11160,33357,28554,3280,3965,16107,29575,6101,19437,35687,10.2
4,2016,678753,23085,71423,60857,10424,33205,29038,3266,3844,15635,29313,5964,20511,36393,10.5
5,2015,671489,14585,71946,61525,10184,33383,29469,3236,3798,15509,28645,5445,22347,37355.25,10.9
6,2014,661888,10340,74460,63891,10063,34321,31218,3213,3703,15833,28560,5278,24789,37090.833333333336,10.9
7,2013,657391,8205,72621,63366,9100,32912,30802,3160,3873,12322,22954,3298,34047,37197.916666666664,11.1
