,Year,Population,Total Refugees,Total Empl,Empl German,Empl Foreigners,Helper,Skilled worker,Specialist,Expert,without educ,with educ,with academic educ,educ unknown,Unemployment,Unemployment Rate
0,2020,1852478,51825,164555,134810,29069,70912,69458,9948,8988,39552,68972,20255,35776,80677,7.6
1,2019,1847253,55160,180701,148517,31522,76686,79176,10356,9032,43979,74168,20800,41754,64774,6.1
2,2018,1841179,52730,179548,148238,30659,76390,78920,10093,8720,43434,72793,19816,43505,65589,6.3
3,2017,1830584,52515,177590,148031,28887,76060,77854,9638,8585,41592,71851,18673,45474,69248,6.8
4,2016,1810438,51170,176063,148260,27125,74514,78068,9418,8715,40702,70165,17433,47763,70666,7.1
5,2015,1787408,37405,173032,146956,25386,72910,77274,9083,8415,38750,68031,15836,50415,73291.16666666667,7.4
6,2014,1762791,29355,173408,147438,25279,72687,77970,9111,8447,37314,66499,14472,55123,73662.5,7.6
7,2013,1746342,26050,170479,145611,24100,71717,77319,8859,7684,28557,54373,9885,77664,71559.66666666667,7.4
