,Year,Population,Foreigners,Total Empl,Empl German,Empl Foreigners,Helper,Skilled worker,Specialist,Expert,without educ,with educ,with academic educ,educ unknown,Unemployment,Unemployment Rate
0,2020,6293154,158485,564380,460548,102338,253174,235802,29925,25340,125140,273771,51767,113702,184955,5.4
1,2019,6288080,157020,607815,497227,108933,267314,261062,31786,26629,136531,290135,52060,129089,149812,4.4
2,2018,6265809,152295,603382,497020,104703,265904,259323,30915,26376,133773,287437,49480,132692,154337,4.6
3,2017,6243262,142535,600783,498889,100222,268034,256181,29846,26023,131264,283627,46835,139057,166287,5
4,2016,6213088,129005,594318,498572,93999,265973,254113,28810,25242,127627,278256,43673,144762,172826,5.3
5,2015,6176172,78250,591760,498530,91374,266382,253145,28189,24367,124842,273154,40539,153225,177943.75,5.5
6,2014,6093888,65995,597851,506944,89046,271990,255502,27508,24401,122266,270778,38127,166680,184377.58333333334,5.7
7,2013,6045425,56900,577930,493618,82471,259609,251173,26199,23766,99069,231885,28362,218614,185611.58333333334,5.8
