,Year,Population,Foreigners,Total Empl,Empl German,Empl Foreigners,Helper,Skilled worker,Specialist,Expert,without educ,with educ,with academic educ,educ unknown,Unemployment,Unemployment Rate
0,2020,4098391,83605,374677,330434,43478,164001,159907,17897,15213,76266,201717,28088,68606,117912,5.2
1,2019,4093903,82725,403881,357094,46005,175984,175193,18784,15503,83656,213482,27916,78827,97717,4.3
2,2018,4084844,81185,404508,360834,42892,177943,174334,18420,15287,82664,211379,26685,83780,98764,4.4
3,2017,4073679,77195,404668,363408,40368,180296,173112,17789,15249,81853,208267,25120,89428,106299,4.8
4,2016,4066053,69325,403921,364940,38071,182223,171401,17215,15162,80843,204110,23345,95623,111436,5.1
5,2015,4052803,41980,403124,365687,36501,182753,170608,16792,15346,78897,199063,21755,103409,112881.66666666667,5.2
6,2014,4011582,32170,404808,369282,34639,184158,171949,16605,15194,76526,197183,19737,111362,115741.25,5.4
7,2013,3994366,24710,387469,356297,30300,172051,168497,16303,14903,61921,168185,14237,143126,116359.58333333333,5.5
